Symbol,info,Price info Wrapper
ADD,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '80.00', 'MarketCap(M.Baht)': '748.80', 'EV(M.Baht)': '622.12', 'EBITDA(M.Baht)': '8.70', 'EV/EBITDA': '14.07', 'Price(Baht)': '4.68', '52WeekHigh/Low': '8.70/4.26', 'P/E(X)': '20.97', 'P/BV(X)': '1.35'}"
AKP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '202.00', 'MarketCap(M.Baht)': '311.08', 'EV(M.Baht)': '317.57', 'EBITDA(M.Baht)': '11.66', 'EV/EBITDA': '4.86', 'Price(Baht)': '0.77', '52WeekHigh/Low': '1.40/0.59', 'P/E(X)': '13.30', 'P/BV(X)': '0.51'}"
AMA,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '258.96', 'MarketCap(M.Baht)': '2,195.97', 'EV(M.Baht)': '3,806.26', 'EBITDA(M.Baht)': '168.65', 'EV/EBITDA': '5.24', 'Price(Baht)': '4.24', '52WeekHigh/Low': '5.10/3.90', 'P/E(X)': '8.00', 'P/BV(X)': '0.72'}"
AMARC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '210.00', 'MarketCap(M.Baht)': '558.60', 'EV(M.Baht)': '638.79', 'EBITDA(M.Baht)': '17.29', 'EV/EBITDA': '10.89', 'Price(Baht)': '1.33', '52WeekHigh/Low': '2.14/1.19', 'P/E(X)': '37.78', 'P/BV(X)': '1.07'}"
ARIP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '116.50', 'MarketCap(M.Baht)': '293.58', 'EV(M.Baht)': '285.46', 'EBITDA(M.Baht)': '3.63', 'EV/EBITDA': '13.57', 'Price(Baht)': '0.63', '52WeekHigh/Low': '1.26/0.53', 'P/E(X)': '27.62', 'P/BV(X)': '1.28'}"
ATP30,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '170.58', 'MarketCap(M.Baht)': '607.26', 'EV(M.Baht)': '1,272.23', 'EBITDA(M.Baht)': '42.06', 'EV/EBITDA': '7.91', 'Price(Baht)': '0.89', '52WeekHigh/Low': '1.33/0.86', 'P/E(X)': '16.69', 'P/BV(X)': '1.15'}"
AUCT,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '137.50', 'MarketCap(M.Baht)': '5,610.00', 'EV(M.Baht)': '6,697.64', 'EBITDA(M.Baht)': '194.01', 'EV/EBITDA': '10.51', 'Price(Baht)': '10.20', '52WeekHigh/Low': '12.20/8.15', 'P/E(X)': '15.08', 'P/BV(X)': '7.89'}"
BIS,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '157.00', 'MarketCap(M.Baht)': '1,186.92', 'EV(M.Baht)': '1,516.35', 'EBITDA(M.Baht)': '22.59', 'EV/EBITDA': '16.09', 'Price(Baht)': '3.78', '52WeekHigh/Low': '6.50/3.04', 'P/E(X)': '20.55', 'P/BV(X)': '1.50'}"
BOL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '82.05', 'MarketCap(M.Baht)': '5,497.39', 'EV(M.Baht)': '5,355.10', 'EBITDA(M.Baht)': '86.16', 'EV/EBITDA': '14.35', 'Price(Baht)': '6.70', '52WeekHigh/Low': '10.70/6.15', 'P/E(X)': '19.12', 'P/BV(X)': '5.02'}"
CEYE,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '144.98', 'MarketCap(M.Baht)': '1,032.26', 'EV(M.Baht)': '1,156.66', 'EBITDA(M.Baht)': '18.21', 'EV/EBITDA': '12.34', 'Price(Baht)': '3.56', '52WeekHigh/Low': '4.96/3.20', 'P/E(X)': '19.91', 'P/BV(X)': '1.59'}"
CHIC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '680.00', 'MarketCap(M.Baht)': '748.00', 'EV(M.Baht)': '1,404.22', 'EBITDA(M.Baht)': '41.00', 'EV/EBITDA': '8.82', 'Price(Baht)': '0.55', '52WeekHigh/Low': '0.81/0.45', 'P/E(X)': '37.91', 'P/BV(X)': '0.88'}"
CMO,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '426.17', 'MarketCap(M.Baht)': '349.46', 'EV(M.Baht)': '988.28', 'EBITDA(M.Baht)': '-28.89', 'EV/EBITDA': '-25.44', 'Price(Baht)': '0.82', '52WeekHigh/Low': '1.85/0.39', 'P/E(X)': '-', 'P/BV(X)': '1.04'}"
D,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '171.10', 'MarketCap(M.Baht)': '1,149.78', 'EV(M.Baht)': '1,581.13', 'EBITDA(M.Baht)': '38.14', 'EV/EBITDA': '11.38', 'Price(Baht)': '3.36', '52WeekHigh/Low': '7.20/3.18', 'P/E(X)': '18.39', 'P/BV(X)': '1.91'}"
DEXON,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '238.25', 'MarketCap(M.Baht)': '848.17', 'EV(M.Baht)': '833.86', 'EBITDA(M.Baht)': '28.82', 'EV/EBITDA': '4.97', 'Price(Baht)': '1.78', '52WeekHigh/Low': '3.60/1.77', 'P/E(X)': '21.09', 'P/BV(X)': '0.99'}"
DV8,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '791.95', 'MarketCap(M.Baht)': '541.17', 'EV(M.Baht)': '111.33', 'EBITDA(M.Baht)': '-6.43', 'EV/EBITDA': '-5.25', 'Price(Baht)': '0.41', '52WeekHigh/Low': '0.63/0.37', 'P/E(X)': '-', 'P/BV(X)': '0.72'}"
ETE,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '280.00', 'MarketCap(M.Baht)': '621.60', 'EV(M.Baht)': '2,082.16', 'EBITDA(M.Baht)': '43.06', 'EV/EBITDA': '12.20', 'Price(Baht)': '1.11', '52WeekHigh/Low': '1.61/0.79', 'P/E(X)': '13.36', 'P/BV(X)': '0.64'}"
FSMART,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '376.57', 'MarketCap(M.Baht)': '3,991.65', 'EV(M.Baht)': '5,118.64', 'EBITDA(M.Baht)': '206.17', 'EV/EBITDA': '6.52', 'Price(Baht)': '5.30', '52WeekHigh/Low': '11.70/5.00', 'P/E(X)': '12.66', 'P/BV(X)': '3.16'}"
FVC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '282.57', 'MarketCap(M.Baht)': '412.55', 'EV(M.Baht)': '926.35', 'EBITDA(M.Baht)': '27.91', 'EV/EBITDA': '6.70', 'Price(Baht)': '0.73', '52WeekHigh/Low': '1.07/0.64', 'P/E(X)': '4.37', 'P/BV(X)': '0.68'}"
GFC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '110.00', 'MarketCap(M.Baht)': '2,123.00', 'EV(M.Baht)': '1,922.39', 'EBITDA(M.Baht)': '40.28', 'EV/EBITDA': '14.93', 'Price(Baht)': '9.65', '52WeekHigh/Low': '13.30/9.05', 'P/E(X)': '24.32', 'P/BV(X)': '3.78'}"
GLORY,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '135.24', 'MarketCap(M.Baht)': '321.87', 'EV(M.Baht)': '285.82', 'EBITDA(M.Baht)': '2.56', 'EV/EBITDA': '-10.61', 'Price(Baht)': '1.19', '52WeekHigh/Low': '3.20/1.15', 'P/E(X)': '-', 'P/BV(X)': '1.25'}"
GSC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '125.00', 'MarketCap(M.Baht)': '277.50', 'EV(M.Baht)': '242.52', 'EBITDA(M.Baht)': '-9.08', 'EV/EBITDA': '-2.09', 'Price(Baht)': '1.11', '52WeekHigh/Low': '2.20/0.92', 'P/E(X)': '-', 'P/BV(X)': '2.82'}"
HEALTH,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '384.26', 'MarketCap(M.Baht)': '461.11', 'EV(M.Baht)': '521.08', 'EBITDA(M.Baht)': '-9.08', 'EV/EBITDA': '-2.04', 'Price(Baht)': '1.20', '52WeekHigh/Low': '3.78/0.87', 'P/E(X)': '-', 'P/BV(X)': '0.67'}"
HL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '136.00', 'MarketCap(M.Baht)': '2,937.60', 'EV(M.Baht)': '3,002.58', 'EBITDA(M.Baht)': '41.22', 'EV/EBITDA': '17.95', 'Price(Baht)': '10.80', '52WeekHigh/Low': '14.20/9.20', 'P/E(X)': '36.51', 'P/BV(X)': '2.98'}"
IMH,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '107.50', 'MarketCap(M.Baht)': '1,257.75', 'EV(M.Baht)': '2,350.41', 'EBITDA(M.Baht)': '30.72', 'EV/EBITDA': '24.50', 'Price(Baht)': '5.85', '52WeekHigh/Low': '11.10/5.75', 'P/E(X)': '-', 'P/BV(X)': '1.52'}"
JPARK,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '200.00', 'MarketCap(M.Baht)': '3,220.00', 'EV(M.Baht)': '3,069.48', 'EBITDA(M.Baht)': '52.55', 'EV/EBITDA': '15.98', 'Price(Baht)': '8.05', '52WeekHigh/Low': '9.50/3.72', 'P/E(X)': '41.91', 'P/BV(X)': '5.21'}"
KGEN,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '1,250.81', 'MarketCap(M.Baht)': '1,588.53', 'EV(M.Baht)': '2,477.91', 'EBITDA(M.Baht)': '27.76', 'EV/EBITDA': '49.42', 'Price(Baht)': '1.27', '52WeekHigh/Low': '1.54/0.43', 'P/E(X)': '-', 'P/BV(X)': '2.34'}"
KK,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '120.75', 'MarketCap(M.Baht)': '434.70', 'EV(M.Baht)': '683.91', 'EBITDA(M.Baht)': '10.64', 'EV/EBITDA': '20.80', 'Price(Baht)': '1.80', '52WeekHigh/Low': '2.56/1.66', 'P/E(X)': '9,276.57', 'P/BV(X)': '2.55'}"
KOOL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '618.07', 'MarketCap(M.Baht)': '890.02', 'EV(M.Baht)': '1,466.19', 'EBITDA(M.Baht)': '54.46', 'EV/EBITDA': '9.72', 'Price(Baht)': '0.36', '52WeekHigh/Low': '0.57/0.29', 'P/E(X)': '8.59', 'P/BV(X)': '0.60'}"
